categoria;conta;descricao;classificacao;valor
Despesas Administrativas;25938;Serviços de Terc de pessoa juridicca;5.3.01.003.031;158804.84
Despesas Administrativas;4014;Salários e Ordenados;5.7.01.001.001;7734.16
Despesas Administrativas;4912;Material Uso e Consumo;5.7.03.015.029;6837.35
Despesas Administrativas;4020;INSS;5.7.01.001.007;2151.97
Despesas Administrativas;25057;PROVISÃO PARA FÉRIAS;5.7.01.001.029;1027.78
Despesas Administrativas;4021;FGTS;5.7.01.001.008;767.35
Despesas Administrativas;25059;Provisão para 33ª;5.7.01.001.031;620.83
Despesas Administrativas;25058;ENCARGOS S/ PROVISÃO DE FERIAS;5.7.01.001.030;362.81
Despesas Administrativas;25060;ENCARGOS S/ PROV. DE 13º SAL.;5.7.01.001.032;219.14
Despesas com Serviço - NPLog;25938;Serviços de Terc de pessoa juridicca;5.3.01.003.031;210781.35
Despesas Comerciais;25938;Serviços de Terc de pessoa juridicca;5.3.01.003.031;87779.85
Despesas Comerciais;4253;Fretes e Carretos;5.7.01.017.014;79170.28
Despesas Comerciais;3244;Materiais Auxiliares e de Consumo;5.3.03.003.003;44534.68
Despesas Comerciais;25070;Despesas com importação;5.7.01.017.028;41781.59
Despesas Comerciais;25064;Materiais auxiliares e de consumo;5.7.01.017.022;36327.17
Despesas Comerciais;4014;Salários e Ordenados;5.7.01.001.001;29658.02
Despesas Comerciais;4020;INSS;5.7.01.001.007;8116.62
Despesas Comerciais;4028;Alimentos do Trabalhador;5.7.01.001.015;6762.00
Despesas Comerciais;25057;PROVISÃO PARA FÉRIAS;5.7.01.001.029;3507.16
Despesas Comerciais;25059;Provisão para 33ª;5.7.01.001.031;2608.99
Despesas Comerciais;4021;FGTS;5.7.01.001.008;2378.47
Despesas Comerciais;5799;Combustível do Trabalhador;5.7.03.001.001;2277.00
Despesas Comerciais;25058;ENCARGOS S/ PROVISÃO DE FERIAS;5.7.01.001.030;1238.03
Despesas Comerciais;4115;Hospedagem;5.7.01.007.003;1179.40
Despesas Comerciais;25060;ENCARGOS S/ PROV. DE 13º SAL.;5.7.01.001.032;920.96
Despesas Comerciais;4085;Publicidade;5.7.01.005.002;673.40
Despesas Comerciais;25061;Assistencia odontologica;5.7.01.001.033;179.82
Despesas Produção;3244;Materiais Auxiliares e de Consumo;5.3.03.003.003;179985.85
Despesas Produção;25938;Serviços de Terc de pessoa juridicca;5.3.01.003.031;62534.01
Despesas Produção;3494;Energia Elétrica;5.3.03.007.002;26570.81
Despesas Produção;25070;Despesas com importação;5.7.01.017.028;5211.76
Despesas Produção;4189;Manutenção de Máquinas e Equipamentos;5.7.01.013.006;2785.60
